kegg_drug,drug_name,match_type,plant_ids,pubchem_cids,plant_names,plant_names_ar,atc_codes,atc_class,confidence,primary_drug_name,synonyms,plant_ids_list,plant_names_list,plant_names_ar_list,atc_codes_clean,atc_codes_list
D02781,Acemannan (USAN/INN); Carrisyn (TN),exact,P16,,Aloe vera,صبار / الوة,,,high,Acemannan,Carrisyn,['P16'],['Aloe vera'],['صبار / الوة'],Unclassified,['Unclassified']
D03011,Atropine oxide hydrochloride (USAN); Genatropine hydrochloride,partial,P06,,Atropa belladonna,ست الحسن,,,medium,Atropine oxide hydrochloride,Genatropine hydrochloride,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03011,Atropine oxide hydrochloride (USAN); Genatropine hydrochloride,partial,P08,,Datura stramonium,داتورة,,,medium,Atropine oxide hydrochloride,Genatropine hydrochloride,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03579,Codeine polistirex (USAN),partial,P10,,Papaver somniferum,خشخاش منوم,R05DA04,الجهاز التنفسي,low,Codeine polistirex,,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA04,['R05DA04']
D03580,Codeine sulfate (USP); Codeine sulfate trihydrate,exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,الجهاز التنفسي,high,Codeine sulfate,Codeine sulfate trihydrate,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA04,['R05DA04']
D03814,Atropine methylbromide (JAN),partial,P06,,Atropa belladonna,ست الحسن,A03BB02,الجهاز الهضمي والأيض,low,Atropine methylbromide,,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB02,['A03BB02']
D03814,Atropine methylbromide (JAN),partial,P08,,Datura stramonium,داتورة,A03BB02,الجهاز الهضمي والأيض,low,Atropine methylbromide,,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB02,['A03BB02']
D03825,Dihydrocodeine bitartrate (USP),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,الجهاز العصبي,low,Dihydrocodeine bitartrate,,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA08,['N02AA08']
D03863,Opium alkaloids and atropine (JP19); Opium alkaloids hydrochloride and atropine sulfate hydrate; Opiato (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Opium alkaloids and atropine,Opium alkaloids hydrochloride and atropine sulfate hydrate; Opiato,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03863,Opium alkaloids and atropine (JP19); Opium alkaloids hydrochloride and atropine sulfate hydrate; Opiato (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Opium alkaloids and atropine,Opium alkaloids hydrochloride and atropine sulfate hydrate; Opiato,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03866,Opium alkaloids and scopolamine (JP19); Weak opium alkaloids and scopolamine (JP19); Opium alkaloids hydrochloride and scopolamine hydrobromide hydrate; Opisco (TN),partial,P07,,Hyoscyamus muticus,سكران مصري,,,medium,Opium alkaloids and scopolamine,Weak opium alkaloids and scopolamine; Opium alkaloids hydrochloride and scopolamine hydrobromide hydrate; Opisco,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",Unclassified,['Unclassified']
D03866,Opium alkaloids and scopolamine (JP19); Weak opium alkaloids and scopolamine (JP19); Opium alkaloids hydrochloride and scopolamine hydrobromide hydrate; Opisco (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Opium alkaloids and scopolamine,Weak opium alkaloids and scopolamine; Opium alkaloids hydrochloride and scopolamine hydrobromide hydrate; Opisco,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",Unclassified,['Unclassified']
D03872,Compound oxycodone and atropine (JP19); Pavinal atropine (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Compound oxycodone and atropine,Pavinal atropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03872,Compound oxycodone and atropine (JP19); Pavinal atropine (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Compound oxycodone and atropine,Pavinal atropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D03876,Morphine and atropine (JP19); Morphine hydrochloride hydrate and atropine sulfate hydrate,partial,P06,,Atropa belladonna,ست الحسن,N02AG01,الجهاز العصبي,medium,Morphine and atropine,Morphine hydrochloride hydrate and atropine sulfate hydrate,"['P06', 'P08', 'P10']","['Atropa belladonna', 'Datura stramonium', 'Papaver somniferum']","['ست الحسن', 'داتورة', 'خشخاش منوم']",N02AG01,['N02AG01']
D03876,Morphine and atropine (JP19); Morphine hydrochloride hydrate and atropine sulfate hydrate,partial,P08,,Datura stramonium,داتورة,N02AG01,الجهاز العصبي,medium,Morphine and atropine,Morphine hydrochloride hydrate and atropine sulfate hydrate,"['P06', 'P08', 'P10']","['Atropa belladonna', 'Datura stramonium', 'Papaver somniferum']","['ست الحسن', 'داتورة', 'خشخاش منوم']",N02AG01,['N02AG01']
D03876,Morphine and atropine (JP19); Morphine hydrochloride hydrate and atropine sulfate hydrate,partial,P10,,Papaver somniferum,خشخاش منوم,N02AG01,الجهاز العصبي,medium,Morphine and atropine,Morphine hydrochloride hydrate and atropine sulfate hydrate,"['P06', 'P08', 'P10']","['Atropa belladonna', 'Datura stramonium', 'Papaver somniferum']","['ست الحسن', 'داتورة', 'خشخاش منوم']",N02AG01,['N02AG01']
D04116,Eucatropine hydrochloride (USP XXXII),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Eucatropine hydrochloride,,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D04116,Eucatropine hydrochloride (USP XXXII),partial,P08,,Datura stramonium,داتورة,,,medium,Eucatropine hydrochloride,,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D04313,"Dihydrocodeine phosphate, dl-methylephedrine hydrochloride and Chlorpheniramine maleate; Huscode (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,R06AB54,الجهاز التنفسي,low,"Dihydrocodeine phosphate, dl-methylephedrine hydrochloride and Chlorpheniramine maleate",Huscode,['P10'],['Papaver somniferum'],['خشخاش منوم'],R06AB54,['R06AB54']
D04336,Cherry bark extract and codeine phosphate hydrate; Brocin codeine (TN),partial,P10,,Papaver somniferum,خشخاش منوم,R05FA01,الجهاز التنفسي,medium,Cherry bark extract and codeine phosphate hydrate,Brocin codeine,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05FA01,['R05FA01']
D04338,"Dihydrocodeine phosphate, ephedrine hydrochloride and ammmonium chloride; Sekicode (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,,,low,"Dihydrocodeine phosphate, ephedrine hydrochloride and ammmonium chloride",Sekicode,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D04479,Hyoscyamine hydrobromide (USP),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,الجهاز الهضمي والأيض,high,Hyoscyamine hydrobromide,,['P06'],['Atropa belladonna'],['ست الحسن'],A03BA03,['A03BA03']
D04849,dl-Menthol (JP19),partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,dl-Menthol,,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D04850,"Phenol, thymol and dl-menthol",partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,"Phenol, thymol and dl-menthol",,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D04918,Menthol (USP),exact,P13,,Mentha piperita,نعناع فلفلي,,,high,Menthol,,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D04987,Monoammonium glycyrrhizinate (JAN); Ammonium glycyrrhizate (NF); Glycyron No.1 (TN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,medium,Monoammonium glycyrrhizinate,Ammonium glycyrrhizate; Glycyron No.1,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],Unclassified,['Unclassified']
D04990,"Monoammonium glycyrrhizinate, glycine and L-cysteine hydrochloride; Stronger neo minophagen C (TN)",partial,P18,,Glycyrrhiza glabra,عرق سوس,,,medium,"Monoammonium glycyrrhizinate, glycine and L-cysteine hydrochloride",Stronger neo minophagen C,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],Unclassified,['Unclassified']
D04993,"Monoammonium glycyrrhizinate, glycine and DL-methionine; Glycyron (TN)",partial,P18,,Glycyrrhiza glabra,عرق سوس,,,medium,"Monoammonium glycyrrhizinate, glycine and DL-methionine",Glycyron,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],Unclassified,['Unclassified']
D06881,Acetyldigitoxin (INN); Acylanid (TN),partial,P09,,Digitalis lanata,ديجيتال,C01AA01,القلب والأوعية,low,Acetyldigitoxin,Acylanid,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA01,['C01AA01']
D07285,Nicomorphine (INN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA04,الجهاز العصبي,medium,Nicomorphine,,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA04,['N02AA04']
D07286,Diamorphine (BAN); Heroin; Diacetylmorphine,partial,P10,,Papaver somniferum,خشخاش منوم,N07BC06,الجهاز العصبي,medium,Diamorphine,Heroin; Diacetylmorphine,['P10'],['Papaver somniferum'],['خشخاش منوم'],N07BC06,['N07BC06']
D07460,Apomorphine (BAN); Uprima (TN),partial,P10,,Papaver somniferum,خشخاش منوم,G04BE07;N04BC07,الجهاز البولي التناسلي;الجهاز العصبي,medium,Apomorphine,Uprima,['P10'],['Papaver somniferum'],['خشخاش منوم'],G04BE07;N04BC07,"['G04BE07', 'N04BC07']"
